id,Arabic_vs_Chinese_Chi,Arabic_vs_Chinese_Z,Arabic_vs_Chinese_Fisher,Arabic_vs_English_Chi,Arabic_vs_English_Z,Arabic_vs_English_Fisher,Arabic_vs_Korean_Chi,Arabic_vs_Korean_Z,Arabic_vs_Korean_Fisher,Arabic_vs_Russian_Chi,Arabic_vs_Russian_Z,Arabic_vs_Russian_Fisher,Chinese_vs_English_Chi,Chinese_vs_English_Z,Chinese_vs_English_Fisher,Chinese_vs_Korean_Chi,Chinese_vs_Korean_Z,Chinese_vs_Korean_Fisher,Chinese_vs_Russian_Chi,Chinese_vs_Russian_Z,Chinese_vs_Russian_Fisher,English_vs_Korean_Chi,English_vs_Korean_Z,English_vs_Korean_Fisher,English_vs_Russian_Chi,English_vs_Russian_Z,English_vs_Russian_Fisher,Korean_vs_Russian_Chi,Korean_vs_Russian_Z,Korean_vs_Russian_Fisher
E_01,0.0000 (***),0.0000 (***),0.0000 (***),0.0045 (***),0.0035 (***),0.0044 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.7987,0.7339,0.7988,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0122 (**),0.0097 (***),0.0121 (**),0.0000 (***),0.0000 (***),0.0000 (***)
E_02,0.0097 (***),0.0077 (***),0.0097 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.9353,0.8710,0.9353,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0060 (***),0.0047 (***),0.0060 (***),0.0188 (**),0.0153 (**),0.0187 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_03,0.0175 (**),0.0142 (**),0.0174 (**),0.5342,0.4844,0.5342,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0930 (*),0.0791 (*),0.0930 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0152 (**),0.0121 (**),0.0151 (**)
E_04,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0347 (**),0.0285 (**),0.0346 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0019 (***),0.0014 (***),0.0019 (***)
E_05,0.0000 (***),0.0000 (***),0.0000 (***),0.0163 (**),0.0131 (**),0.0163 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.1545,0.1329,0.1545,0.0000 (***),0.0000 (***),0.0000 (***),0.0057 (***),0.0045 (***),0.0056 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3681,0.3261,0.3681,0.0000 (***),0.0000 (***),0.0000 (***)
E_06,0.4468,0.3748,0.4470,0.0428 (**),0.0308 (**),0.0421 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.3001,0.2496,0.3001,0.2530,0.1985,0.2529,0.0000 (***),0.0000 (***),0.0000 (***),0.0560 (*),0.0423 (**),0.0554 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0016 (***),0.0011 (***),0.0015 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_07,0.0000 (***),0.0000 (***),0.0000 (***),0.0381 (**),0.0263 (**),0.0371 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6391,0.5843,0.6391,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0009 (***),0.0006 (***),0.0009 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_08,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1412,0.1214,0.1411,0.0338 (**),0.0279 (**),0.0337 (**),0.3222,0.2864,0.3222,0.0003 (***),0.0002 (***),0.0002 (***),0.0113 (**),0.0090 (***),0.0112 (**),0.2896,0.2565,0.2896
E_09,0.1353,0.1159,0.1352,0.1642,0.1408,0.1641,0.0012 (***),0.0009 (***),0.0012 (***),0.0103 (**),0.0082 (***),0.0102 (**),0.0031 (***),0.0024 (***),0.0031 (***),0.0925 (*),0.0786 (*),0.0924 (*),0.3180,0.2822,0.3180,0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0000 (***),0.0001 (***),0.5428,0.4936,0.5429
E_10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Age_41,0.6997,0.6434,0.6997,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1562,0.1245,0.1559,0.0978 (*),0.0786 (*),0.0975 (*),0.0016 (***),0.0011 (***),0.0015 (***)
E_Age_42,0.0007 (***),0.0005 (***),0.0006 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6384,0.5728,0.6385,0.0000 (***),0.0000 (***),0.0000 (***),0.0007 (***),0.0005 (***),0.0007 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0047 (***),0.0034 (***),0.0046 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Age_43,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0089 (***),0.0065 (***),0.0087 (***),0.1299,0.1062,0.1297,0.3140,0.2633,0.3140
E_Age_44,0.0631 (*),0.0515 (*),0.0629 (*),0.0257 (**),0.0203 (**),0.0255 (**),0.0182 (**),0.0146 (**),0.0181 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.7780,0.7069,0.7780,0.0000 (***),0.0000 (***),0.0000 (***),0.0089 (***),0.0066 (***),0.0087 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0248 (**),0.0190 (**),0.0245 (**),0.0000 (***),0.0000 (***),0.0000 (***)
E_Age_45,0.0567 (*),0.0449 (**),0.0564 (*),0.1833,0.1518,0.1831,0.0048 (***),0.0035 (***),0.0047 (***),0.4639,0.4025,0.4640,0.6310,0.5643,0.6311,0.4071,0.3570,0.4071,0.2821,0.2407,0.2821,0.1607,0.1346,0.1606,0.6184,0.5500,0.6185,0.0460 (**),0.0366 (**),0.0458 (**)
E_Doom_54,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0001 (***),0.0001 (***),0.0011 (***),0.0006 (***),0.0009 (***),0.1325,0.0449 (**),0.1239,0.7501,0.5241,0.7521,0.3824,0.2441,0.3835,0.0404 (**),0.0139 (**),0.0306 (**),0.0128 (**),0.0044 (***),0.0075 (***),0.7872,0.5892,0.7884
