id,ChatGPT-4o_vs_Claude_Chi,ChatGPT-4o_vs_Claude_Z,ChatGPT-4o_vs_Claude_Fisher,ChatGPT-4o_vs_DeepSeek_Chi,ChatGPT-4o_vs_DeepSeek_Z,ChatGPT-4o_vs_DeepSeek_Fisher,ChatGPT-4o_vs_Gemini_Chi,ChatGPT-4o_vs_Gemini_Z,ChatGPT-4o_vs_Gemini_Fisher,ChatGPT-4o_vs_Grok_Chi,ChatGPT-4o_vs_Grok_Z,ChatGPT-4o_vs_Grok_Fisher,ChatGPT-4o_vs_Llama_Chi,ChatGPT-4o_vs_Llama_Z,ChatGPT-4o_vs_Llama_Fisher,ChatGPT-4o_vs_Qwen_Chi,ChatGPT-4o_vs_Qwen_Z,ChatGPT-4o_vs_Qwen_Fisher,Claude_vs_DeepSeek_Chi,Claude_vs_DeepSeek_Z,Claude_vs_DeepSeek_Fisher,Claude_vs_Gemini_Chi,Claude_vs_Gemini_Z,Claude_vs_Gemini_Fisher,Claude_vs_Grok_Chi,Claude_vs_Grok_Z,Claude_vs_Grok_Fisher,Claude_vs_Llama_Chi,Claude_vs_Llama_Z,Claude_vs_Llama_Fisher,Claude_vs_Qwen_Chi,Claude_vs_Qwen_Z,Claude_vs_Qwen_Fisher,DeepSeek_vs_Gemini_Chi,DeepSeek_vs_Gemini_Z,DeepSeek_vs_Gemini_Fisher,DeepSeek_vs_Grok_Chi,DeepSeek_vs_Grok_Z,DeepSeek_vs_Grok_Fisher,DeepSeek_vs_Llama_Chi,DeepSeek_vs_Llama_Z,DeepSeek_vs_Llama_Fisher,DeepSeek_vs_Qwen_Chi,DeepSeek_vs_Qwen_Z,DeepSeek_vs_Qwen_Fisher,Gemini_vs_Grok_Chi,Gemini_vs_Grok_Z,Gemini_vs_Grok_Fisher,Gemini_vs_Llama_Chi,Gemini_vs_Llama_Z,Gemini_vs_Llama_Fisher,Gemini_vs_Qwen_Chi,Gemini_vs_Qwen_Z,Gemini_vs_Qwen_Fisher,Grok_vs_Llama_Chi,Grok_vs_Llama_Z,Grok_vs_Llama_Fisher,Grok_vs_Qwen_Chi,Grok_vs_Qwen_Z,Grok_vs_Qwen_Fisher,Llama_vs_Qwen_Chi,Llama_vs_Qwen_Z,Llama_vs_Qwen_Fisher
E_01,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2380,0.1980,0.2380,0.0000 (***),0.0000 (***),0.0000 (***),0.0223 (**),0.0169 (**),0.0221 (**),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0126 (**),0.0044 (***),0.0074 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3138,0.2678,0.3138,0.2380,0.1980,0.2380,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0223 (**),0.0169 (**),0.0221 (**)
E_02,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0014 (***),0.0010 (***),0.0014 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2076,0.1722,0.2075,0.0000 (***),0.0000 (***),0.0000 (***),0.0008 (***),0.0006 (***),0.0008 (***),0.6547,0.5915,0.6547,0.0000 (***),0.0000 (***),0.0000 (***),0.4738,0.4204,0.4739,0.0001 (***),0.0001 (***),0.0001 (***),0.0647 (*),0.0518 (*),0.0645 (*),0.0107 (**),0.0082 (***),0.0106 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.2104,0.1796,0.2104,0.0000 (***),0.0000 (***),0.0000 (***)
E_03,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0023 (***),0.0016 (***),0.0022 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0381 (**),0.0304 (**),0.0379 (**),0.0077 (***),0.0058 (***),0.0076 (***),0.1612,0.1351,0.1611,0.0000 (***),0.0000 (***),0.0000 (***),0.0004 (***),0.0003 (***),0.0004 (***),0.2407,0.2037,0.2406
E_04,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0011 (***),0.0008 (***),0.0011 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0932 (*),0.0755 (*),0.0930 (*),0.0021 (***),0.0015 (***),0.0021 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1356,0.1128,0.1355,0.9269,0.8544,0.9269,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1904,0.1607,0.1904
E_05,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.5948,0.5061,0.5951,0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1286,0.0997 (*),0.1281,0.0000 (***),0.0000 (***),0.0000 (***),0.0017 (***),0.0011 (***),0.0016 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3883,0.3241,0.3884,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0292 (**),0.0220 (**),0.0289 (**),0.0000 (***),0.0000 (***),0.0000 (***)
E_06,0.0400 (**),0.0137 (**),0.0303 (**),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0400 (**),0.0137 (**),0.0303 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0400 (**),0.0137 (**),0.0303 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2464,0.2023,0.2463,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_07,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.3168,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2908,0.2453,0.2908,0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.9188,0.8384,0.9188,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0036 (***),0.0024 (***),0.0034 (***),0.2076,0.1722,0.2075,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_08,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0054 (***),0.0040 (***),0.0053 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0069 (***),0.0052 (***),0.0068 (***),0.1066,0.0885 (*),0.1065,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3161,0.2741,0.3161
E_09,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.3168,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0040 (***),0.0014 (***),0.0018 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0017 (***),0.0012 (***),0.0017 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0147 (**),0.0061 (***),0.0109 (**),0.0000 (***),0.0000 (***),0.0000 (***)
E_10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
